,maker,model,battery,fastcharge_speed,plug,acceleration (sec),topspeed (km/h),erange_real (km),efficiency (Wh/km),country_de (€),country_nl (€)
159,Volvo,C40 Recharge Single Motor,67.0,510.0,Type 2 CCS,7.4,180,345,194,47500.0,49495.0
160,Hongqi,E-HS9 84 kWh,76.5,420.0,Type 2 CCS,6.5,200,305,251,,83590.0
161,Mercedes,EQS SUV 450+,108.4,650.0,Type 2 CCS,6.7,210,495,219,110801.0,120827.0
162,Lucid,Air Dream Edition P,118.0,820.0,Type 2 CCS,2.7,270,645,183,218000.0,222000.0
163,XPENG,G9 RWD Long Range,94.0,980.0,Type 2 CCS,6.4,200,470,200,,63188.0
164,Polestar,3 Long Range Performance,107.0,610.0,Type 2 CCS,4.7,210,470,228,95200.0,96500.0
165,Mercedes,EQE 500 4MATIC,90.6,750.0,Type 2 CCS,4.7,210,500,181,87286.0,113488.0
166,ORA,Funky Cat 48 kWh,45.4,240.0,Type 2 CCS,8.3,160,260,175,38990.0,
167,Mercedes,EQE AMG 53 4MATIC+,90.6,720.0,Type 2 CCS,3.5,240,480,189,109777.0,128613.0
168,Genesis,GV70 Electrified Sport,74.0,860.0,Type 2 CCS,4.2,235,350,211,67300.0,
169,Porsche,Taycan Plus,83.7,1170.0,Type 2 CCS,5.4,230,475,176,94123.0,99544.0
170,SsangYong,Korando e-Motion,56.0,330.0,Type 2 CCS,8.5,156,290,193,40490.0,38490.0
171,Polestar,2 Long Range Performance,78.0,630.0,Type 2 CCS,4.2,205,410,190,65275.0,66400.0
172,Volvo,C40 Recharge Twin Motor,78.0,600.0,Type 2 CCS,4.7,180,390,200,61400.0,59995.0
173,Mercedes,EQE 350 4MATIC,90.6,750.0,Type 2 CCS,6.3,210,500,181,73363.0,86263.0
174,Renault,Kangoo E-Tech Electric,44.0,230.0,Type 2 CCS,12.6,132,215,205,39300.0,
175,Volkswagen,ID.4 Pure Performance,52.0,360.0,Type 2 CCS,9.0,160,285,182,,45390.0
176,Ford,Mustang Mach-E ER AWD,91.0,390.0,Type 2 CCS,5.8,180,440,207,77200.0,75940.0
177,Audi,Q4 e-tron 45 quattro,76.6,490.0,Type 2 CCS,6.9,180,385,199,53990.0,61175.0
178,Audi,Q4 Sportback e-tron 40,76.6,540.0,Type 2 CCS,8.5,160,425,180,53900.0,61225.0
179,MG,MG5 Electric Standard Range,46.0,320.0,Type 2 CCS,7.7,185,265,174,35490.0,34585.0
180,Mercedes,EQE SUV 500 4MATIC,90.6,680.0,Type 2 CCS,5.0,210,455,199,115000.0,116755.0
181,NIO,ET5 75 kWh,70.5,530.0,Type 2 CCS,4.0,200,395,178,61900.0,63900.0
182,XPENG,G9 AWD Long Range,94.0,920.0,Type 2 CCS,3.9,200,440,214,,73188.0
183,Audi,Q8 e-tron Sportback 50 quattro,89.0,610.0,Type 2 CCS,6.0,200,440,202,76650.0,73785.0
184,Mercedes,EQS 450 4MATIC,107.8,920.0,Type 2 CCS,5.6,210,615,175,113359.0,129902.0
185,Mercedes,EQA 250,66.5,510.0,Type 2 CCS,8.6,160,355,187,50777.0,57618.0
186,Genesis,G80 Electrified Luxury,82.5,880.0,Type 2 CCS,4.9,225,440,188,69200.0,
187,Mercedes,EQE SUV 350 4MATIC,90.6,680.0,Type 2 CCS,6.5,210,455,199,95000.0,99089.0
188,Ford,Mustang Mach-E SR RWD,70.0,370.0,Type 2 CCS,6.9,180,355,197,62900.0,58100.0
189,JAC,iEV7s ,39.0,160.0,Type 2 CCS,12.0,132,225,173,,29900.0
190,Lucid,Air Touring,88.0,960.0,Type 2 CCS,3.4,250,550,160,120000.0,120000.0
191,Fiat,500e 3+1 42 kWh,37.3,390.0,Type 2 CCS,9.0,150,235,159,36990.0,36290.0
192,DS,3 E-Tense,50.8,480.0,Type 2 CCS,9.0,150,300,169,40540.0,41640.0
193,Mercedes,EQE SUV AMG 53 4MATIC+,90.6,630.0,Type 2 CCS,3.5,240,425,213,124920.0,150000.0
194,Mercedes,EQA 300 4MATIC,66.5,500.0,Type 2 CCS,7.7,160,350,190,53746.0,64031.0
195,Ford,Mustang Mach-E GT,91.0,380.0,Type 2 CCS,4.4,200,425,214,86200.0,83990.0
196,Fiat,500e Hatchback 24 kWh,21.3,230.0,Type 2 CCS,9.0,135,135,158,30990.0,30790.0
197,Volkswagen,ID.4 Pro 4MOTION,77.0,510.0,Type 2 CCS,6.9,180,405,190,49020.0,
198,CUPRA,Born 110 kW - 45 kWh,45.0,410.0,Type 2 CCS,8.9,160,275,164,32700.0,
199,Porsche,Taycan Turbo,83.7,1020.0,Type 2 CCS,3.2,260,415,202,156348.0,162400.0
200,Porsche,Taycan GTS,83.7,1110.0,Type 2 CCS,3.7,250,450,186,134214.0,140400.0
201,Kia,e-Soul 64 kWh,64.0,350.0,Type 2 CCS,7.9,167,370,173,46950.0,42695.0
202,Porsche,Taycan 4S Plus,83.7,1130.0,Type 2 CCS,4.0,250,460,182,114389.0,120031.0
203,Aiways,U6 ,60.0,430.0,Type 2 CCS,7.0,160,350,171,47588.0,48950.0
204,Lotus,Eletre R,107.0,940.0,Type 2 CCS,2.9,260,450,238,150990.0,154090.0
205,XPENG,P7 Wing Edition,82.7,650.0,Type 2 CCS,4.1,200,465,178,,71188.0
206,Citroen,e-Berlingo M 50 kWh,45.0,320.0,Type 2 CCS,11.7,135,200,225,37790.0,38715.0
207,Mercedes,EQS SUV 450 4MATIC,108.4,630.0,Type 2 CCS,6.0,210,485,224,114609.0,127845.0
208,Audi,SQ8 e-tron Sportback ,106.0,630.0,Type 2 CCS,4.5,210,470,226,115000.0,115000.0
209,Smart,EQ fortwo cabrio,16.7,,Type 2,11.9,130,95,176,25200.0,27910.0
210,Mini,Cooper SE Convertible,28.9,240.0,Type 2 CCS,8.2,150,170,170,60000.0,62990.0
211,Genesis,GV60 Sport,74.0,990.0,Type 2 CCS,5.5,200,380,195,63200.0,
212,Toyota,Proace City Verso Electric L1 50 kWh,45.0,330.0,Type 2 CCS,11.2,135,205,220,37800.0,45495.0
213,Mercedes,EQE 350,89.0,650.0,Type 2 CCS,6.4,210,515,173,70210.0,83238.0
214,Audi,Q4 Sportback e-tron 50 quattro,76.6,500.0,Type 2 CCS,6.2,180,400,192,59900.0,72825.0
215,Seres,3 ,51.0,240.0,Type 2 CCS,8.9,155,260,196,,37995.0
216,Mercedes,EQS SUV 500 4MATIC,108.4,630.0,Type 2 CCS,5.2,210,485,224,124545.0,152166.0
217,XPENG,G9 RWD Standard Range,75.0,780.0,Type 2 CCS,6.4,200,375,200,,59188.0
218,Audi,Q4 Sportback e-tron 35,52.0,370.0,Type 2 CCS,9.0,160,295,176,,53915.0
219,Skoda,Enyaq Coupe iV 80x,77.0,540.0,Type 2 CCS,7.0,160,430,179,57000.0,
220,Peugeot,e-Expert Combi Standard 75 kWh,68.0,290.0,Type 2 CCS,14.3,130,265,257,57940.0,57367.0
221,ORA,Funky Cat GT,59.3,230.0,Type 2 CCS,8.2,160,330,180,49490.0,
222,Opel,Vivaro-e Combi M 75 kWh,68.0,290.0,Type 2 CCS,13.3,130,265,257,56942.0,55822.0
223,XPENG,P7 AWD Performance,82.7,650.0,Type 2 CCS,4.1,200,470,176,,61188.0
224,Mercedes,EQB 250+,70.5,490.0,Type 2 CCS,8.9,160,365,193,53978.0,61974.0
225,CUPRA,Born 170 kW - 58 kWh,58.0,460.0,Type 2 CCS,6.6,160,345,168,40750.0,45990.0
226,Skoda,Enyaq iV RS,77.0,540.0,Type 2 CCS,6.2,180,390,197,63300.0,63000.0
