,maker,model,battery,fastcharge_speed,plug,acceleration (sec),topspeed (km/h),erange_real (km),efficiency (Wh/km),country_de (€),country_nl (€)
280,Citroen,e-Jumpy Combi XL 75 kWh,68.0,280.0,Type 2 CCS,13.3,130,260,262,58730.0,59303.0
281,Citroen,e-Jumpy Combi M 50 kWh,45.0,290.0,Type 2 CCS,12.1,130,180,250,51940.0,48353.0
282,Toyota,PROACE Shuttle M 50 kWh,45.0,280.0,Type 2 CCS,12.1,130,175,257,,58845.0
283,Toyota,PROACE Shuttle L 75 kWh,68.0,280.0,Type 2 CCS,13.1,130,260,262,,69745.0
284,Mercedes,eVito Tourer Extra-Long 60 kWh,60.0,300.0,Type 2 CCS,12.0,160,205,293,61571.0,
285,Mercedes,EQV 250 Extra-Long,60.0,190.0,Type 2 CCS,12.0,160,205,293,68949.0,
286,Fiat,E-Ulysse L3 50 kWh,45.0,280.0,Type 2 CCS,12.1,130,175,257,56990.0,
287,Citroen,e-Jumpy Combi XL 50 kWh,45.0,280.0,Type 2 CCS,12.1,130,175,257,52730.0,50289.0
288,Opel,Zafira-e Life M 75 kWh,68.0,290.0,Type 2 CCS,13.3,130,265,257,69250.0,65078.0
289,Opel,Vivaro-e Combi L 75 kWh,68.0,280.0,Type 2 CCS,13.3,130,260,262,57775.0,56911.0
290,Peugeot,e-Expert Combi Long 50 kWh,45.0,280.0,Type 2 CCS,13.1,130,175,257,52730.0,50289.0
291,Peugeot,e-Traveller Long 50 kWh,45.0,280.0,Type 2 CCS,13.1,130,175,257,54430.0,59364.0
292,Porsche,Taycan Turbo Cross Turismo,83.7,980.0,Type 2 CCS,3.3,250,400,209,157776.0,163900.0
293,Porsche,Taycan 4S Sport Turismo,71.0,910.0,Type 2 CCS,4.0,250,370,192,109819.0,114200.0
294,Fiat,E-Ulysse L2 50 kWh,45.0,290.0,Type 2 CCS,12.1,130,180,250,55990.0,
295,Opel,Zafira-e Life M 50 kWh,45.0,290.0,Type 2 CCS,12.1,130,180,250,63250.0,56124.0
296,Citroen,e-SpaceTourer XL 50 kWh,45.0,280.0,Type 2 CCS,12.1,130,175,257,54430.0,59364.0
